Mexico 1968,1968,Mexico
Athens 1896,1896,Athens
London 2012,2012,London
Berlin 1936,1936,Berlin
Atlanta 1996,1996,Atlanta
Barcelona 1992,1992,Barcelona
Antwerp 1920,1920,Antwerp
Athens 2004,2004,Athens
Paris 1900,1900,Paris
London 1948,1948,London
Melbourne / Stockholm 1956,1956,Melbourne / Stockholm
London 1908,1908,London
Rome 1960,1960,Rome
Beijing 2008,2008,Beijing
Amsterdam 1928,1928,Amsterdam
Montreal 1976,1976,Montreal
Paris 1924,1924,Paris
Stockholm 1912,1912,Stockholm
Sydney 2000,2000,Sydney
Tokyo 1964,1964,Tokyo
St Louis 1904,1904,St Louis
Helsinki 1952,1952,Helsinki
Munich 1972,1972,Munich
Moscow 1980,1980,Moscow
Los Angeles 1984,1984,Los Angeles
Los Angeles 1932,1932,Los Angeles
Seoul 1988,1988,Seoul
